ARHGEF10L	ZDHHC7
HSPA2	ZDHHC7
TOMM40	ZDHHC7
AGK	ZDHHC7
ACTG1	ZDHHC7
SF3B3	ZDHHC7
RPN1	ZDHHC7
DARS	ZDHHC7
HSPA9	ZDHHC7
NCAPG	ZDHHC7
SF1	ZDHHC7
MYL6	ZDHHC7
LGALS3	ZDHHC7
PUF60	ZDHHC7
ANP32B	ZDHHC7
CAPRIN1	ZDHHC7
S100A10	ZDHHC7
KIAA0664	ZDHHC7
TXNDC5	ZDHHC7
CDK2AP1	ZDHHC7
LRPPRC	ZDHHC7
GPS1	ZDHHC7
BYSL	ZDHHC7
C19orf43	ZDHHC7
DHX15	ZDHHC7
PSMA1	ZDHHC7
EIF3B	ZDHHC7
DNMT1	ZDHHC7
EIF3D	ZDHHC7
SNRPA	ZDHHC7
GNB2L1	ZDHHC7
EIF4B	ZDHHC7
OSMR	ZDHHC7
ZC3H15	ZDHHC7
EIF3I	ZDHHC7
RPLP2	ZDHHC7
ILF3	ZDHHC7
PSMD1	ZDHHC7
PSMD4	ZDHHC7
DHX8	ZDHHC7
COBRA1	ZDHHC7
IARS	ZDHHC7
CTNNAL1	ZDHHC7
SYNCRIP	ZDHHC7
CAD	ZDHHC7
LPCAT1	ZDHHC7
CTSD	ZDHHC7
SLC25A5	ZDHHC7
CCDC42	ZDHHC7
RPL15	ZDHHC7
FXR2	ZDHHC7
BRD8	ZDHHC7
CHERP	ZDHHC7
THOC2	ZDHHC7
PSMD14	ZDHHC7
UBR5	ZDHHC7
TRAPPC9	ZDHHC7
RPS7	ZDHHC7
SNRPD3	ZDHHC7
NME2	ZDHHC7
MTCH1	ZDHHC7
PLD3	ZDHHC7
EIF4G3	ZDHHC7
EEF1G	ZDHHC7
TPI1	ZDHHC7
ARCN1	ZDHHC7
SAFB2	ZDHHC7
RCN1	ZDHHC7
RPS19	ZDHHC7
PSMC6	ZDHHC7
XRN2	ZDHHC7
PHB	ZDHHC7
