#pid	gene_ids	eids	pathfinders	sif_edges
'p342'	'GNB2L1'|'YES1'|'SSTR2'	'edge557'|'edge70'	'watanabe_path'	GNB2L1 u YES1|YES1 u SSTR2
'p343'	'GNAI2'|'CCR7'|'SSTR2'	'edge433'|'edge340'	'watanabe_path'	GNAI2 d CCR7|CCR7 u SSTR2
'p344'	'PSMC1'|'NOS3'|'SSTR2'	'edge585'|'edge413'	'watanabe_path'	PSMC1 u NOS3|NOS3 u SSTR2
'p345'	'RAN'|'EP300'|'NUPR1'	'edge574'|'edge27'	'watanabe_path'	RAN u EP300|EP300 u NUPR1
'p346'	'EIF4A3'|'AGO2'|'ZNFX1'	'edge349'|'edge96'	'watanabe_path'	EIF4A3 u AGO2|AGO2 u ZNFX1
'p347'	'EIF4G3'|'PAPD7'|'ZNFX1'	'edge606'|'edge329'	'watanabe_path'	EIF4G3 u PAPD7|PAPD7 u ZNFX1
'p348'	'ICMT'|'ELAVL1'|'SSTR2'	'edge485'|'edge283'	'watanabe_path'	ICMT u ELAVL1|ELAVL1 u SSTR2
'p349'	'SSTR2'|'ELAVL1'|'CREBBP'|'NUPR1'	'edge283'|'edge601'|'edge389'	'merlin_path'	SSTR2 u ELAVL1|ELAVL1 u CREBBP|CREBBP u NUPR1
'p350'	'SLC25A5'|'AGO4'|'ZNFX1'	'edge173'|'edge195'	'watanabe_path'	SLC25A5 u AGO4|AGO4 u ZNFX1
'p351'	'PHB2'|'NPY4R'|'SSTR2'	'edge112'|'edge410'	'watanabe_path'	PHB2 u NPY4R|NPY4R u SSTR2
'p352'	'SSTR2'|'SRC'|'EP300'|'NUPR1'	'edge198'|'edge428'|'edge27'	'merlin_path'	SSTR2 u SRC|SRC u EP300|EP300 u NUPR1
'p353'	'PHB2'|'AGO2'|'ZNFX1'	'edge471'|'edge96'	'watanabe_path'	PHB2 u AGO2|AGO2 u ZNFX1
'p354'	'SNW1'|'EP300'|'NUPR1'	'edge525'|'edge27'	'watanabe_path'	SNW1 d EP300|EP300 u NUPR1
'p355'	'GNAI2'|'NPY2R'|'SSTR2'	'edge74'|'edge451'	'watanabe_path'	GNAI2 d NPY2R|NPY2R u SSTR2
'p356'	'GNAI2'|'OPRD1'|'SSTR2'	'edge91'|'edge89'	'watanabe_path'	GNAI2 d OPRD1|OPRD1 u SSTR2
'p357'	'SSTR2'|'DRD4'|'TP53'|'NUPR1'	'edge122'|'edge160'|'edge510'	'merlin_path'	SSTR2 u DRD4|DRD4 u TP53|TP53 d NUPR1
'p358'	'COPA'|'AGO2'|'ZNFX1'	'edge459'|'edge96'	'watanabe_path'	COPA u AGO2|AGO2 u ZNFX1
'p359'	'GNAI2'|'CXCL13'|'SSTR2'	'edge95'|'edge613'	'watanabe_path'	GNAI2 d CXCL13|CXCL13 u SSTR2
'p360'	'JAK1'|'INS-IGF2'|'SSTR2'	'edge240'|'edge3'	'watanabe_path'	JAK1 d INS-IGF2|INS-IGF2 d SSTR2
'p361'	'PSMD6'|'TP53'|'NUPR1'	'edge248'|'edge510'	'watanabe_path'	PSMD6 u TP53|TP53 d NUPR1
'p362'	'GNAI2'|'HCAR2'|'SSTR2'	'edge278'|'edge611'	'watanabe_path'	GNAI2 d HCAR2|HCAR2 u SSTR2
'p363'	'GNAI2'|'CXCR6'|'SSTR2'	'edge603'|'edge356'	'watanabe_path'	GNAI2 d CXCR6|CXCR6 u SSTR2
'p364'	'GNAI2'|'S1PR1'|'SSTR2'	'edge488'|'edge289'	'watanabe_path'	GNAI2 d S1PR1|S1PR1 u SSTR2
'p365'	'RPL3'|'DDX17'|'NUPR1'	'edge411'|'edge234'	'watanabe_path'	RPL3 u DDX17|DDX17 u NUPR1
'p366'	'PPP2R1A'|'ELAVL1'|'SSTR2'	'edge219'|'edge283'	'watanabe_path'	PPP2R1A u ELAVL1|ELAVL1 u SSTR2
'p367'	'YWHAZ'|'PTPN13'|'SSTR2'	'edge348'|'edge539'	'watanabe_path'	YWHAZ u PTPN13|PTPN13 u SSTR2
'p368'	'SYNCRIP'|'AGO1'|'ZNFX1'	'edge440'|'edge573'	'watanabe_path'	SYNCRIP u AGO1|AGO1 u ZNFX1
'p369'	'EIF3I'|'PAPD7'|'ZNFX1'	'edge236'|'edge329'	'watanabe_path'	EIF3I u PAPD7|PAPD7 u ZNFX1
'p370'	'DHX30'|'AGO1'|'ZNFX1'	'edge556'|'edge573'	'watanabe_path'	DHX30 u AGO1|AGO1 u ZNFX1
'p371'	'SNRNP200'|'AGO1'|'ZNFX1'	'edge559'|'edge573'	'watanabe_path'	SNRNP200 u AGO1|AGO1 u ZNFX1
'p372'	'SSTR2'|'ELAVL1'|'SS18'|'NUPR1'	'edge283'|'edge271'|'edge403'	'merlin_path'	SSTR2 u ELAVL1|ELAVL1 u SS18|SS18 u NUPR1
'p373'	'GNAI2'|'ADORA1'|'SSTR2'	'edge438'|'edge319'	'watanabe_path'	GNAI2 d ADORA1|ADORA1 u SSTR2
'p374'	'HSP90AB1'|'GNAI2'|'SSTR2'	'edge130'|'edge100'	'watanabe_path'	HSP90AB1 u GNAI2|GNAI2 d SSTR2
'p375'	'DDX3X'|'PAPD7'|'ZNFX1'	'edge188'|'edge329'	'watanabe_path'	DDX3X u PAPD7|PAPD7 u ZNFX1
'p376'	'ALDOA'|'APP'|'SSTR2'	'edge113'|'edge350'	'watanabe_path'	ALDOA d APP|APP u SSTR2
'p377'	'IMMT'|'NOS3'|'SSTR2'	'edge233'|'edge413'	'watanabe_path'	IMMT u NOS3|NOS3 u SSTR2
'p378'	'GNAI2'|'CXCL11'|'SSTR2'	'edge312'|'edge418'	'watanabe_path'	GNAI2 d CXCL11|CXCL11 u SSTR2
'p379'	'DDX3X'|'PAPD5'|'ZNFX1'	'edge291'|'edge365'	'watanabe_path'	DDX3X u PAPD5|PAPD5 u ZNFX1
'p380'	'CTBP1'|'CREBBP'|'NUPR1'	'edge67'|'edge389'	'watanabe_path'	CTBP1 u CREBBP|CREBBP u NUPR1
'p381'	'GNAI2'|'CCL19'|'SSTR2'	'edge522'|'edge453'	'watanabe_path'	GNAI2 d CCL19|CCL19 u SSTR2
'p382'	'TUBB'|'TP53'|'NUPR1'	'edge437'|'edge510'	'watanabe_path'	TUBB u TP53|TP53 d NUPR1
'p383'	'ILF3'|'AGO1'|'ZNFX1'	'edge385'|'edge573'	'watanabe_path'	ILF3 u AGO1|AGO1 u ZNFX1
'p384'	'BASP1'|'COPS5'|'NUPR1'	'edge286'|'edge231'	'watanabe_path'	BASP1 u COPS5|COPS5 u NUPR1
'p385'	'LRRC59'|'AGO1'|'ZNFX1'	'edge111'|'edge573'	'watanabe_path'	LRRC59 u AGO1|AGO1 u ZNFX1
'p386'	'TUBB'|'AGO4'|'ZNFX1'	'edge75'|'edge195'	'watanabe_path'	TUBB u AGO4|AGO4 u ZNFX1
'p387'	'AIMP2'|'TP53'|'NUPR1'	'edge284'|'edge510'	'watanabe_path'	AIMP2 u TP53|TP53 d NUPR1
'p388'	'PSMC4'|'HTR1E'|'SSTR2'	'edge604'|'edge176'	'watanabe_path'	PSMC4 u HTR1E|HTR1E u SSTR2
'p389'	'COPA'|'MTNR1B'|'SSTR2'	'edge406'|'edge154'	'watanabe_path'	COPA u MTNR1B|MTNR1B u SSTR2
'p390'	'EIF4G3'|'PAPD5'|'ZNFX1'	'edge92'|'edge365'	'watanabe_path'	EIF4G3 u PAPD5|PAPD5 u ZNFX1
'p391'	'UBR5'|'TP53'|'NUPR1'	'edge272'|'edge510'	'watanabe_path'	UBR5 u TP53|TP53 d NUPR1
'p392'	'IMMT'|'AGO1'|'ZNFX1'	'edge363'|'edge573'	'watanabe_path'	IMMT u AGO1|AGO1 u ZNFX1
'p393'	'CDK2AP1'|'ELAVL1'|'SSTR2'	'edge333'|'edge283'	'watanabe_path'	CDK2AP1 u ELAVL1|ELAVL1 u SSTR2
'p394'	'SSTR2'|'ELAVL1'|'PAPD5'|'ZNFX1'	'edge283'|'edge366'|'edge365'	'merlin_path'	SSTR2 u ELAVL1|ELAVL1 u PAPD5|PAPD5 u ZNFX1
'p395'	'SSTR2'|'APP'|'COPS5'|'NUPR1'	'edge350'|'edge337'|'edge231'	'merlin_path'	SSTR2 u APP|APP u COPS5|COPS5 u NUPR1
'p396'	'HSPA2'|'TP53'|'NUPR1'	'edge102'|'edge510'	'watanabe_path'	HSPA2 u TP53|TP53 d NUPR1
'p397'	'PSMC1'|'NOS1'|'SSTR2'	'edge317'|'edge304'	'watanabe_path'	PSMC1 u NOS1|NOS1 u SSTR2
'p398'	'GNAI2'|'GPR18'|'SSTR2'	'edge550'|'edge423'	'watanabe_path'	GNAI2 d GPR18|GPR18 u SSTR2
'p399'	'HSP90AB1'|'NOS3'|'SSTR2'	'edge497'|'edge413'	'watanabe_path'	HSP90AB1 u NOS3|NOS3 u SSTR2
'p400'	'SSTR2'|'ELAVL1'|'ATF2'|'NUPR1'	'edge283'|'edge612'|'edge81'	'merlin_path'	SSTR2 u ELAVL1|ELAVL1 d ATF2|ATF2 u NUPR1
'p401'	'GNAI2'|'PTGER3'|'SSTR2'	'edge5'|'edge177'	'watanabe_path'	GNAI2 d PTGER3|PTGER3 u SSTR2
'p402'	'CASC3'|'ELAVL1'|'SSTR2'	'edge417'|'edge283'	'watanabe_path'	CASC3 u ELAVL1|ELAVL1 u SSTR2
'p403'	'GNAI2'|'AGTR2'|'SSTR2'	'edge460'|'edge387'	'watanabe_path'	GNAI2 d AGTR2|AGTR2 u SSTR2
'p404'	'EIF3I'|'PAPD5'|'ZNFX1'	'edge109'|'edge365'	'watanabe_path'	EIF3I u PAPD5|PAPD5 u ZNFX1
'p405'	'HSP90AB1'|'AGO3'|'ZNFX1'	'edge309'|'edge458'	'watanabe_path'	HSP90AB1 u AGO3|AGO3 u ZNFX1
'p406'	'GNAI2'|'ANXA1'|'SSTR2'	'edge552'|'edge409'	'watanabe_path'	GNAI2 d ANXA1|ANXA1 u SSTR2
'p407'	'TPI1'|'FRMPD2'|'SSTR2'	'edge468'|'edge116'	'watanabe_path'	TPI1 u FRMPD2|FRMPD2 u SSTR2
'p408'	'GNAI2'|'S1PR4'|'SSTR2'	'edge293'|'edge448'	'watanabe_path'	GNAI2 d S1PR4|S1PR4 u SSTR2
'p409'	'SNW1'|'SRC'|'SSTR2'	'edge61'|'edge198'	'watanabe_path'	SNW1 u SRC|SRC u SSTR2
'p410'	'PSMC6'|'AGO3'|'ZNFX1'	'edge533'|'edge458'	'watanabe_path'	PSMC6 u AGO3|AGO3 u ZNFX1
'p411'	'RPLP2'|'INS-IGF2'|'SSTR2'	'edge237'|'edge3'	'watanabe_path'	RPLP2 u INS-IGF2|INS-IGF2 d SSTR2
'p412'	'HSPA1B'|'COPS5'|'NUPR1'	'edge148'|'edge231'	'watanabe_path'	HSPA1B d COPS5|COPS5 u NUPR1
'p413'	'CLNS1A'|'AGO3'|'ZNFX1'	'edge120'|'edge458'	'watanabe_path'	CLNS1A u AGO3|AGO3 u ZNFX1
'p414'	'GNAI2'|'MTNR1A'|'SSTR2'	'edge129'|'edge235'	'watanabe_path'	GNAI2 d MTNR1A|MTNR1A u SSTR2
'p415'	'GNAI2'|'CHRM2'|'SSTR2'	'edge544'|'edge436'	'watanabe_path'	GNAI2 d CHRM2|CHRM2 u SSTR2
'p416'	'GNAI2'|'FPR3'|'SSTR2'	'edge396'|'edge370'	'watanabe_path'	GNAI2 d FPR3|FPR3 u SSTR2
'p417'	'JAK1'|'FYN'|'SSTR2'	'edge343'|'edge457'	'watanabe_path'	JAK1 u FYN|FYN u SSTR2
'p418'	'KHSRP'|'DDX5'|'NUPR1'	'edge546'|'edge133'	'watanabe_path'	KHSRP u DDX5|DDX5 u NUPR1
'p419'	'GNAI2'|'APLNR'|'SSTR2'	'edge472'|'edge41'	'watanabe_path'	GNAI2 d APLNR|APLNR u SSTR2
'p420'	'FXR2'|'DDX17'|'NUPR1'	'edge562'|'edge234'	'watanabe_path'	FXR2 u DDX17|DDX17 u NUPR1
'p421'	'PHB2'|'NPY1R'|'SSTR2'	'edge189'|'edge602'	'watanabe_path'	PHB2 u NPY1R|NPY1R u SSTR2
'p422'	'GNAI2'|'NPY5R'|'SSTR2'	'edge68'|'edge578'	'watanabe_path'	GNAI2 d NPY5R|NPY5R u SSTR2
'p423'	'RPL11'|'PAPD5'|'ZNFX1'	'edge303'|'edge365'	'watanabe_path'	RPL11 u PAPD5|PAPD5 u ZNFX1
'p424'	'YWHAZ'|'COPS5'|'NUPR1'	'edge593'|'edge231'	'watanabe_path'	YWHAZ u COPS5|COPS5 u NUPR1
'p425'	'GNB2L1'|'AGO2'|'ZNFX1'	'edge275'|'edge96'	'watanabe_path'	GNB2L1 u AGO2|AGO2 u ZNFX1
'p426'	'EIF4B'|'AGO2'|'ZNFX1'	'edge513'|'edge96'	'watanabe_path'	EIF4B u AGO2|AGO2 u ZNFX1
