#pid	gene_ids	eids	pathfinders	sif_edges
'p0'	'APP'|'STUB1'|'MAP3K7'|'TRIM5'	'edge1732'|'edge302'|'edge364'	'protein_path'	APP u STUB1|STUB1 u MAP3K7|MAP3K7 u TRIM5
'p1'	'ISG15'|'JAK1'|'HSP90AA1'|'FGFR3'	'edge425'|'edge34'|'edge157'	'protein_path'	ISG15 d JAK1|JAK1 u HSP90AA1|HSP90AA1 u FGFR3
'p2'	'APP'|'PTAFR'|'B2M'|'IRF7'	'edge5057'|'edge2570'|'edge727'	'protein_path'	APP u PTAFR|PTAFR u B2M|B2M u IRF7
'p3'	'APP'|'MAPK3'|'BRCA1'|'NMI'	'edge5024'|'edge80'|'edge447'	'protein_path'	APP u MAPK3|MAPK3 u BRCA1|BRCA1 u NMI
'p4'	'THBS1'|'PSMD4'|'RNF11'|'STAT1'	'edge1164'|'edge2936'|'edge3735'	'protein_path'	THBS1 u PSMD4|PSMD4 u RNF11|RNF11 u STAT1
'p5'	'APP'|'FOS'|'FGF10'|'FGFR3'	'edge1549'|'edge4223'|'edge311'	'protein_path'	APP u FOS|FOS d FGF10|FGF10 u FGFR3
'p6'	'ISG15'|'HSPD1'|'MYC'|'NMI'	'edge2259'|'edge4076'|'edge3110'	'protein_path'	ISG15 u HSPD1|HSPD1 u MYC|MYC u NMI
'p7'	'APP'|'GRB2'|'IRF5'|'STAT1'	'edge558'|'edge1922'|'edge3807'	'protein_path'	APP u GRB2|GRB2 u IRF5|IRF5 u STAT1
'p8'	'ISG15'|'IRF1'|'ADAR'|'IRF7'	'edge4241'|'edge5083'|'edge2595'	'protein_path'	ISG15 u IRF1|IRF1 u ADAR|ADAR u IRF7
'p9'	'THBS1'|'ITGA4'|'HSPA1B'|'FGFR3'	'edge5579'|'edge5012'|'edge5082'	'protein_path'	THBS1 u ITGA4|ITGA4 u HSPA1B|HSPA1B u FGFR3
'p10'	'APP'|'NOTCH1'|'CUL1'|'TRIM21'	'edge1965'|'edge1400'|'edge1110'	'protein_path'	APP u NOTCH1|NOTCH1 d CUL1|CUL1 u TRIM21
'p11'	'APP'|'GRP'|'CCND1'|'FGFR3'	'edge2317'|'edge619'|'edge708'	'protein_path'	APP u GRP|GRP d CCND1|CCND1 d FGFR3
'p12'	'APP'|'CDK5'|'CDK5R2'|'STAT1'	'edge2501'|'edge5392'|'edge2059'	'protein_path'	APP u CDK5|CDK5 d CDK5R2|CDK5R2 u STAT1
'p13'	'ISG15'|'HSPD1'|'MAPK3'|'STAT1'	'edge2259'|'edge1107'|'edge2939'	'protein_path'	ISG15 u HSPD1|HSPD1 u MAPK3|MAPK3 d STAT1
'p14'	'APP'|'GHSR'|'PTAFR'|'IRF7'	'edge3680'|'edge3799'|'edge763'	'protein_path'	APP u GHSR|GHSR u PTAFR|PTAFR u IRF7
'p15'	'ISG15'|'EGR1'|'OAS2'|'IRF7'	'edge5772'|'edge1277'|'edge2886'	'protein_path'	ISG15 u EGR1|EGR1 u OAS2|OAS2 u IRF7
'p16'	'APP'|'HSP90AA1'|'MAP3K3'|'MOK'	'edge1963'|'edge3767'|'edge3381'	'protein_path'	APP u HSP90AA1|HSP90AA1 u MAP3K3|MAP3K3 u MOK
'p17'	'FGFR3'|'MAPK11'|'NCL'|'STAT1'	'edge1798'|'edge1839'|'edge3885'	'merlin_path'	FGFR3 u MAPK11|MAPK11 u NCL|NCL u STAT1
'p18'	'APP'|'FOS'|'MYC'|'TRIM21'	'edge1549'|'edge5717'|'edge2124'	'protein_path'	APP u FOS|FOS u MYC|MYC u TRIM21
'p19'	'ISG15'|'TRIM25'|'UBE2L6'|'STAT1'	'edge4906'|'edge5010'|'edge2312'	'protein_path'	ISG15 u TRIM25|TRIM25 u UBE2L6|UBE2L6 d STAT1
'p20'	'APP'|'HSP90AA1'|'HSP90AB1'|'FGFR3'	'edge1963'|'edge643'|'edge4927'	'protein_path'	APP u HSP90AA1|HSP90AA1 u HSP90AB1|HSP90AB1 u FGFR3
'p21'	'ISG15'|'RPTOR'|'CHUK'|'IRF7'	'edge2205'|'edge141'|'edge5214'	'protein_path'	ISG15 u RPTOR|RPTOR u CHUK|CHUK u IRF7
'p22'	'FGFR3'|'GRB2'|'HGS'|'NMI'	'edge5887'|'edge1146'|'edge0'	'merlin_path'	FGFR3 u GRB2|GRB2 u HGS|HGS u NMI
'p23'	'THBS1'|'ELAVL1'|'EIF2AK2'|'STAT1'	'edge5365'|'edge5183'|'edge2656'	'protein_path'	THBS1 u ELAVL1|ELAVL1 u EIF2AK2|EIF2AK2 u STAT1
'p24'	'ISG15'|'HLA-A'|'IRF2'|'STAT1'	'edge350'|'edge5384'|'edge2683'	'protein_path'	ISG15 u HLA-A|HLA-A u IRF2|IRF2 u STAT1
'p25'	'APP'|'B2M'|'OASL'|'IRF7'	'edge2047'|'edge4571'|'edge2196'	'protein_path'	APP u B2M|B2M u OASL|OASL u IRF7
'p26'	'APP'|'EDNRA'|'COPS5'|'NUPR1'	'edge4230'|'edge5170'|'edge3255'	'protein_path'	APP u EDNRA|EDNRA u COPS5|COPS5 u NUPR1
'p27'	'APP'|'COPS5'|'IRF5'|'IRF7'	'edge4078'|'edge757'|'edge3980'	'protein_path'	APP u COPS5|COPS5 u IRF5|IRF5 u IRF7
'p28'	'ISG15'|'ISG20'|'ADAR'|'IRF7'	'edge5615'|'edge1176'|'edge2595'	'protein_path'	ISG15 u ISG20|ISG20 u ADAR|ADAR u IRF7
'p29'	'THBS1'|'FYN'|'PLCG1'|'STAT1'	'edge4804'|'edge1795'|'edge4781'	'protein_path'	THBS1 u FYN|FYN d PLCG1|PLCG1 d STAT1
'p30'	'COLGALT1'|'ELAVL1'|'UBE2H'|'TRIM5'	'edge5760'|'edge2305'|'edge1630'	'protein_path'	COLGALT1 u ELAVL1|ELAVL1 u UBE2H|UBE2H u TRIM5
'p31'	'FGFR3'|'CDC37'|'APOE'|'STAT1'	'edge2892'|'edge4758'|'edge2677'	'merlin_path'	FGFR3 u CDC37|CDC37 u APOE|APOE d STAT1
'p32'	'FGFR3'|'VEGFA'|'PTK2'|'STAT1'	'edge4819'|'edge3477'|'edge2137'	'merlin_path'	FGFR3 d VEGFA|VEGFA d PTK2|PTK2 u STAT1
'p33'	'APP'|'STUB1'|'UBE2D2'|'TRIM21'	'edge1732'|'edge1491'|'edge5656'	'protein_path'	APP u STUB1|STUB1 u UBE2D2|UBE2D2 u TRIM21
'p34'	'ISG15'|'HLA-B'|'ISG20'|'IRF7'	'edge247'|'edge337'|'edge434'	'protein_path'	ISG15 u HLA-B|HLA-B u ISG20|ISG20 u IRF7
'p35'	'APP'|'TP53BP2'|'TP73'|'FGFR3'	'edge2158'|'edge2066'|'edge788'	'protein_path'	APP u TP53BP2|TP53BP2 u TP73|TP73 d FGFR3
'p36'	'ISG15'|'MAPK3'|'GRB2'|'FGFR3'	'edge4519'|'edge3742'|'edge5887'	'protein_path'	ISG15 d MAPK3|MAPK3 u GRB2|GRB2 u FGFR3
'p37'	'APP'|'OPRM1'|'COPS5'|'NUPR1'	'edge221'|'edge3870'|'edge3255'	'protein_path'	APP u OPRM1|OPRM1 u COPS5|COPS5 u NUPR1
'p38'	'ISG15'|'CFL1'|'MYC'|'TRIM21'	'edge3213'|'edge2157'|'edge2124'	'protein_path'	ISG15 u CFL1|CFL1 u MYC|MYC u TRIM21
'p39'	'APP'|'GFAP'|'HGS'|'NMI'	'edge4677'|'edge1339'|'edge0'	'protein_path'	APP u GFAP|GFAP u HGS|HGS u NMI
'p40'	'APP'|'POMC'|'HSPA4'|'STAT1'	'edge2908'|'edge2068'|'edge2372'	'protein_path'	APP u POMC|POMC d HSPA4|HSPA4 u STAT1
'p41'	'ISG15'|'CCND1'|'TP73'|'FGFR3'	'edge4086'|'edge5804'|'edge788'	'protein_path'	ISG15 u CCND1|CCND1 u TP73|TP73 d FGFR3
'p42'	'ISG15'|'OAS2'|'GBP2'|'IRF7'	'edge2000'|'edge1029'|'edge830'	'protein_path'	ISG15 u OAS2|OAS2 u GBP2|GBP2 u IRF7
'p43'	'APP'|'SHC1'|'STAT5A'|'NMI'	'edge1829'|'edge974'|'edge1011'	'protein_path'	APP u SHC1|SHC1 u STAT5A|STAT5A u NMI
'p44'	'FGFR3'|'TP73'|'CHEK2'|'STAT1'	'edge632'|'edge2603'|'edge1375'	'merlin_path'	FGFR3 d TP73|TP73 u CHEK2|CHEK2 u STAT1
'p45'	'APP'|'FOS'|'TP53'|'NUPR1'	'edge1549'|'edge2233'|'edge2866'	'protein_path'	APP u FOS|FOS d TP53|TP53 d NUPR1
'p46'	'ISG15'|'CTNNB1'|'SMAD4'|'IRF7'	'edge4789'|'edge5497'|'edge766'	'protein_path'	ISG15 u CTNNB1|CTNNB1 u SMAD4|SMAD4 u IRF7
'p47'	'ISG15'|'IRF3'|'PIAS4'|'STAT1'	'edge496'|'edge41'|'edge161'	'protein_path'	ISG15 d IRF3|IRF3 u PIAS4|PIAS4 u STAT1
'p48'	'ISG15'|'IRF5'|'STAT1'	'edge1376'|'edge3807'	'protein_path'	ISG15 u IRF5|IRF5 u STAT1
'p49'	'MAGED2'|'SNW1'|'PSMC2'|'TRIM5'	'edge2730'|'edge5157'|'edge4998'	'protein_path'	MAGED2 u SNW1|SNW1 u PSMC2|PSMC2 u TRIM5
'p50'	'THBS1'|'MYB'|'GATA1'|'LMO2'	'edge4944'|'edge5389'|'edge3746'	'protein_path'	THBS1 d MYB|MYB u GATA1|GATA1 u LMO2
'p51'	'FGFR3'|'PIK3CB'|'EGFR'|'STAT1'	'edge5324'|'edge3303'|'edge2906'	'merlin_path'	FGFR3 u PIK3CB|PIK3CB u EGFR|EGFR d STAT1
'p52'	'ISG15'|'IRF6'|'MX2'|'IRF7'	'edge5659'|'edge5047'|'edge5536'	'protein_path'	ISG15 u IRF6|IRF6 u MX2|MX2 u IRF7
'p53'	'APP'|'MED12'|'PAXIP1'|'NUPR1'	'edge2934'|'edge357'|'edge1760'	'protein_path'	APP u MED12|MED12 u PAXIP1|PAXIP1 u NUPR1
'p54'	'ISG15'|'PLCG1'|'SRC'|'STAT1'	'edge1236'|'edge4074'|'edge5455'	'protein_path'	ISG15 d PLCG1|PLCG1 u SRC|SRC d STAT1
'p55'	'APP'|'SERPINE1'|'MAP2K5'|'MOK'	'edge1330'|'edge5859'|'edge4925'	'protein_path'	APP d SERPINE1|SERPINE1 d MAP2K5|MAP2K5 u MOK
'p56'	'APP'|'YWHAZ'|'CDC5L'|'TRIM21'	'edge5655'|'edge3605'|'edge1597'	'protein_path'	APP u YWHAZ|YWHAZ u CDC5L|CDC5L u TRIM21
'p57'	'ISG15'|'JAK1'|'FRMPD2'|'STAT1'	'edge425'|'edge1722'|'edge5055'	'protein_path'	ISG15 d JAK1|JAK1 d FRMPD2|FRMPD2 d STAT1
'p58'	'APP'|'KIF1B'|'BRCA1'|'STAT1'	'edge3706'|'edge588'|'edge164'	'protein_path'	APP u KIF1B|KIF1B u BRCA1|BRCA1 u STAT1
'p59'	'ISG15'|'OAS3'|'HLA-DRB1'|'IRF7'	'edge608'|'edge762'|'edge404'	'protein_path'	ISG15 u OAS3|OAS3 u HLA-DRB1|HLA-DRB1 u IRF7
'p60'	'ISG15'|'OASL'|'GBP1'|'IRF7'	'edge1788'|'edge4613'|'edge353'	'protein_path'	ISG15 u OASL|OASL u GBP1|GBP1 u IRF7
'p61'	'THBS1'|'F2'|'IL6'|'STAT1'	'edge2726'|'edge5061'|'edge3982'	'protein_path'	THBS1 u F2|F2 d IL6|IL6 d STAT1
'p62'	'MAGED2'|'TCEA2'|'MAPK13'|'FGFR3'	'edge1622'|'edge1756'|'edge4912'	'protein_path'	MAGED2 u TCEA2|TCEA2 u MAPK13|MAPK13 u FGFR3
'p63'	'ISG15'|'IFIT1'|'OAS1'|'IRF7'	'edge1589'|'edge3781'|'edge1406'	'protein_path'	ISG15 d IFIT1|IFIT1 u OAS1|OAS1 u IRF7
'p64'	'ISG15'|'IRF5'|'STAT5B'|'NMI'	'edge1376'|'edge5269'|'edge3377'	'protein_path'	ISG15 u IRF5|IRF5 u STAT5B|STAT5B u NMI
'p65'	'ISG15'|'IFIT3'|'IFI6'|'IRF7'	'edge2134'|'edge1259'|'edge947'	'protein_path'	ISG15 u IFIT3|IFIT3 u IFI6|IFI6 u IRF7
'p66'	'APP'|'AVPR1A'|'AGT'|'STAT1'	'edge299'|'edge963'|'edge224'	'protein_path'	APP u AVPR1A|AVPR1A u AGT|AGT d STAT1
'p67'	'APP'|'HSP90AA1'|'YWHAZ'|'TRIM21'	'edge1963'|'edge1424'|'edge2772'	'protein_path'	APP u HSP90AA1|HSP90AA1 u YWHAZ|YWHAZ u TRIM21
'p68'	'ISG15'|'ISG20'|'MX2'|'IRF7'	'edge5615'|'edge4121'|'edge5536'	'protein_path'	ISG15 u ISG20|ISG20 u MX2|MX2 u IRF7
'p69'	'FGFR3'|'FGFR2'|'FYN'|'STAT1'	'edge3449'|'edge3249'|'edge5190'	'merlin_path'	FGFR3 u FGFR2|FGFR2 u FYN|FYN d STAT1
'p70'	'APP'|'EDN1'|'PTAFR'|'IRF7'	'edge1966'|'edge3684'|'edge763'	'protein_path'	APP u EDN1|EDN1 u PTAFR|PTAFR u IRF7
'p71'	'APP'|'F2R'|'CCND1'|'FGFR3'	'edge4493'|'edge3553'|'edge708'	'protein_path'	APP u F2R|F2R d CCND1|CCND1 d FGFR3
'p72'	'ISG15'|'RAD1'|'OASL'|'IRF7'	'edge1227'|'edge5210'|'edge2196'	'protein_path'	ISG15 u RAD1|RAD1 u OASL|OASL u IRF7
'p73'	'FGFR3'|'TP63'|'CREBBP'|'IRF7'	'edge1521'|'edge3252'|'edge3336'	'merlin_path'	FGFR3 d TP63|TP63 u CREBBP|CREBBP u IRF7
'p74'	'ISG15'|'IRF3'|'OAS3'|'IRF7'	'edge496'|'edge1696'|'edge4229'	'protein_path'	ISG15 d IRF3|IRF3 u OAS3|OAS3 u IRF7
'p75'	'APP'|'A2M'|'MLST8'|'STAT1'	'edge562'|'edge3656'|'edge4206'	'protein_path'	APP d A2M|A2M u MLST8|MLST8 u STAT1
'p76'	'APP'|'NEDD8'|'AHR'|'STAT1'	'edge3797'|'edge5150'|'edge615'	'protein_path'	APP u NEDD8|NEDD8 u AHR|AHR u STAT1
'p77'	'APP'|'YWHAZ'|'TUBA3C'|'NMI'	'edge5655'|'edge4504'|'edge117'	'protein_path'	APP u YWHAZ|YWHAZ u TUBA3C|TUBA3C u NMI
'p78'	'THBS1'|'SCARB1'|'AGT'|'STAT1'	'edge5345'|'edge4754'|'edge224'	'protein_path'	THBS1 u SCARB1|SCARB1 d AGT|AGT d STAT1
'p79'	'ISG15'|'IFIT1'|'ISG20'|'IRF7'	'edge1589'|'edge5325'|'edge434'	'protein_path'	ISG15 d IFIT1|IFIT1 u ISG20|ISG20 u IRF7
'p80'	'APP'|'NMS'|'PTAFR'|'IRF7'	'edge5303'|'edge446'|'edge763'	'protein_path'	APP u NMS|NMS u PTAFR|PTAFR u IRF7
'p81'	'ISG15'|'HSPA4'|'KPNA1'|'STAT1'	'edge5751'|'edge5835'|'edge4429'	'protein_path'	ISG15 u HSPA4|HSPA4 u KPNA1|KPNA1 u STAT1
'p82'	'ISG15'|'IFIT3'|'IRF9'|'IRF7'	'edge2134'|'edge3529'|'edge2067'	'protein_path'	ISG15 u IFIT3|IFIT3 u IRF9|IRF9 u IRF7
'p83'	'ISG15'|'EIF4A3'|'SNW1'|'MLKL'	'edge3962'|'edge3760'|'edge676'	'protein_path'	ISG15 d EIF4A3|EIF4A3 u SNW1|SNW1 u MLKL
'p84'	'FGFR3'|'SOCS1'|'IFNG'|'STAT1'	'edge5709'|'edge5084'|'edge5422'	'merlin_path'	FGFR3 u SOCS1|SOCS1 u IFNG|IFNG d STAT1
'p85'	'FGFR3'|'F2'|'MTOR'|'STAT1'	'edge4708'|'edge3823'|'edge3087'	'merlin_path'	FGFR3 u F2|F2 u MTOR|MTOR d STAT1
'p86'	'APP'|'IFIT3'|'IFITM1'|'IRF7'	'edge953'|'edge1415'|'edge4555'	'protein_path'	APP u IFIT3|IFIT3 u IFITM1|IFITM1 u IRF7
'p87'	'ISG15'|'OAS2'|'IFIT2'|'IRF7'	'edge2000'|'edge1585'|'edge1246'	'protein_path'	ISG15 u OAS2|OAS2 u IFIT2|IFIT2 u IRF7
'p88'	'APP'|'NOS3'|'PAXIP1'|'NUPR1'	'edge2181'|'edge3695'|'edge1760'	'protein_path'	APP u NOS3|NOS3 u PAXIP1|PAXIP1 u NUPR1
'p89'	'ISG15'|'CFL1'|'VCAM1'|'IRF7'	'edge3213'|'edge1214'|'edge4068'	'protein_path'	ISG15 u CFL1|CFL1 u VCAM1|VCAM1 u IRF7
'p90'	'ISG15'|'UBE2D3'|'BRCA1'|'NMI'	'edge2744'|'edge4872'|'edge447'	'protein_path'	ISG15 u UBE2D3|UBE2D3 d BRCA1|BRCA1 u NMI
'p91'	'FGFR3'|'GRB2'|'MAPK9'|'STAT1'	'edge5887'|'edge196'|'edge347'	'merlin_path'	FGFR3 u GRB2|GRB2 u MAPK9|MAPK9 u STAT1
'p92'	'MAGED2'|'IRS4'|'HSP90AA1'|'FGFR3'	'edge5328'|'edge2140'|'edge157'	'protein_path'	MAGED2 u IRS4|IRS4 u HSP90AA1|HSP90AA1 u FGFR3
'p93'	'APP'|'LPAR3'|'PTAFR'|'IRF7'	'edge4963'|'edge4331'|'edge763'	'protein_path'	APP u LPAR3|LPAR3 u PTAFR|PTAFR u IRF7
'p94'	'ISG15'|'OASL'|'IFIT2'|'IRF7'	'edge1788'|'edge1871'|'edge1246'	'protein_path'	ISG15 u OASL|OASL u IFIT2|IFIT2 u IRF7
'p95'	'ISG15'|'OAS2'|'RNASEL'|'IRF7'	'edge2000'|'edge4688'|'edge5668'	'protein_path'	ISG15 u OAS2|OAS2 u RNASEL|RNASEL u IRF7
'p96'	'ISG15'|'UBE2E1'|'PBX2'|'MLKL'	'edge429'|'edge1840'|'edge3422'	'protein_path'	ISG15 d UBE2E1|UBE2E1 u PBX2|PBX2 u MLKL
'p97'	'FGFR3'|'TP63'|'MTOR'|'STAT1'	'edge1521'|'edge986'|'edge3087'	'merlin_path'	FGFR3 d TP63|TP63 u MTOR|MTOR d STAT1
'p98'	'APP'|'PSEN1'|'MAFB'|'IRF7'	'edge2825'|'edge1392'|'edge4101'	'protein_path'	APP u PSEN1|PSEN1 u MAFB|MAFB u IRF7
'p99'	'APP'|'CLSTN1'|'MYC'|'NMI'	'edge4116'|'edge1830'|'edge3110'	'protein_path'	APP u CLSTN1|CLSTN1 u MYC|MYC u NMI
'p100'	'ISG15'|'IRF6'|'HLA-DRB1'|'TRIM21'	'edge5659'|'edge1977'|'edge3736'	'protein_path'	ISG15 u IRF6|IRF6 u HLA-DRB1|HLA-DRB1 u TRIM21
'p101'	'MAGED2'|'SNW1'|'VDR'|'STAT1'	'edge2730'|'edge5869'|'edge3932'	'protein_path'	MAGED2 u SNW1|SNW1 u VDR|VDR u STAT1
'p102'	'MOK'|'SF3A3'|'SKP1'|'TRIM21'	'edge376'|'edge1247'|'edge965'	'merlin_path'	MOK u SF3A3|SF3A3 u SKP1|SKP1 u TRIM21
'p103'	'APP'|'MAPK1'|'BRCA1'|'STAT1'	'edge2168'|'edge3285'|'edge164'	'protein_path'	APP u MAPK1|MAPK1 u BRCA1|BRCA1 u STAT1
'p104'	'FGFR3'|'SOCS1'|'LCK'|'STAT1'	'edge5709'|'edge5538'|'edge5113'	'merlin_path'	FGFR3 u SOCS1|SOCS1 u LCK|LCK d STAT1
'p105'	'ISG15'|'OAS2'|'B2M'|'IRF7'	'edge2000'|'edge5592'|'edge727'	'protein_path'	ISG15 u OAS2|OAS2 u B2M|B2M u IRF7
'p106'	'ISG15'|'CCND1'|'FGFR3'	'edge4086'|'edge708'	'protein_path'	ISG15 u CCND1|CCND1 d FGFR3
'p107'	'ISG15'|'IRF2'|'HLA-DRB1'|'IRF7'	'edge5759'|'edge1673'|'edge404'	'protein_path'	ISG15 u IRF2|IRF2 u HLA-DRB1|HLA-DRB1 u IRF7
'p108'	'APP'|'NOS3'|'TNF'|'IRF7'	'edge2181'|'edge5088'|'edge5845'	'protein_path'	APP u NOS3|NOS3 d TNF|TNF u IRF7
'p109'	'APP'|'FN1'|'GRB2'|'FGFR3'	'edge3831'|'edge4503'|'edge5887'	'protein_path'	APP d FN1|FN1 u GRB2|GRB2 u FGFR3
'p110'	'FGFR3'|'TP63'|'NFKB1'|'STAT1'	'edge1521'|'edge2172'|'edge5790'	'merlin_path'	FGFR3 d TP63|TP63 u NFKB1|NFKB1 u STAT1
'p111'	'FGFR3'|'MAPK11'|'AGT'|'STAT1'	'edge1798'|'edge3903'|'edge224'	'merlin_path'	FGFR3 u MAPK11|MAPK11 d AGT|AGT d STAT1
'p112'	'ISG15'|'IFIT2'|'GBP2'|'IRF7'	'edge5163'|'edge5229'|'edge830'	'protein_path'	ISG15 u IFIT2|IFIT2 u GBP2|GBP2 u IRF7
'p113'	'APP'|'HSP90AA1'|'BRMS1'|'NMI'	'edge1963'|'edge1340'|'edge4396'	'protein_path'	APP u HSP90AA1|HSP90AA1 u BRMS1|BRMS1 u NMI
