GEMIN4	merlin	Cluster1594
MKL1	merlin	Cluster1594
BOLA1	merlin	Cluster1594
TNS3	merlin	Cluster1594
BCAP31	merlin	Cluster1594
PREB	merlin	Cluster1594
WDR81	merlin	Cluster1594
ZNF628	merlin	Cluster1594
MET	merlin	Cluster1594
NEK9	merlin	Cluster1594
CYP2R1	merlin	Cluster1594
GYS1	merlin	Cluster1594
PIGO	merlin	Cluster1594
PPP1R12B	merlin	Cluster1594
ZHX3	merlin	Cluster1594
ACVR1	merlin	Cluster1594
SIK2	merlin	Cluster1594
PARP1	merlin	Cluster1594
PTPRF	merlin	Cluster1594
EWSR1	merlin	Cluster1594
DNMT1	merlin	Cluster1594
ZNF239	merlin	Cluster1594
TBC1D22A	merlin	Cluster1594
MED20	merlin	Cluster1594
DUSP11	merlin	Cluster1594
GAK	merlin	Cluster1594
PPAP2B	merlin	Cluster1594
JUP	merlin	Cluster1594
SRPK2	merlin	Cluster1594
ZBTB3	merlin	Cluster1594
ZNF276	merlin	Cluster1594
CTNND1	merlin	Cluster1594
PPP1R9A	merlin	Cluster1594
BPTF	merlin	Cluster1594
PTPN23	merlin	Cluster1594
SMARCAD1	merlin	Cluster1594
TULP4	merlin	Cluster1594
RFX5	merlin	Cluster1594
TP53BP1	merlin	Cluster1594
FKBP15	merlin	Cluster1594
TP53BP2	merlin	Cluster1594
TRIP6	merlin	Cluster1594
ARSK	merlin	Cluster1594
CAMK2G	merlin	Cluster1594
HLTF	merlin	Cluster1594
IKBKG	merlin	Cluster1594
MCM3	merlin	Cluster1594
ROR1	merlin	Cluster1594
CDC7	merlin	Cluster1594
ZNF688	merlin	Cluster1594
CDC42BPA	merlin	Cluster1594
EED	merlin	Cluster1594
PTPRR	merlin	Cluster1594
MED8	merlin	Cluster1594
PYGO2	merlin	Cluster1594
DAPP1	merlin	Cluster1594
IRAK3	merlin	Cluster1594
ANKS1A	merlin	Cluster1594
BUB1	merlin	Cluster1594
NUDT18	merlin	Cluster1594
SNAPC3	merlin	Cluster1594
TFCP2L1	merlin	Cluster1594
BUB1B	merlin	Cluster1594
MTMR3	merlin	Cluster1594
PTPN12	merlin	Cluster1594
TAB1	merlin	Cluster1594
THAP7	merlin	Cluster1594
CHAF1A	merlin	Cluster1594
GTF2F2	merlin	Cluster1594
TBCK	merlin	Cluster1594
VAC14	merlin	Cluster1594
ATP1A1	merlin	Cluster1594
LPIN1	merlin	Cluster1594
ADCK5	merlin	Cluster1594
POLR3C	merlin	Cluster1594
TTK	merlin	Cluster1594
MST1R	merlin	Cluster1594
FOXD2	merlin	Cluster1594
MCM6	merlin	Cluster1594
TOX4	merlin	Cluster1594
LPIN2	merlin	Cluster1594
SEMA4D	merlin	Cluster1594
ZNF623	merlin	Cluster1594
PPP3CC	merlin	Cluster1594
CD2BP2	merlin	Cluster1594
DMAP1	merlin	Cluster1594
RNGTT	merlin	Cluster1594
EZH1	merlin	Cluster1594
CHEK1	merlin	Cluster1594
L3MBTL3	merlin	Cluster1594
RARG	merlin	Cluster1594
UBP1	merlin	Cluster1594
MTMR4	merlin	Cluster1594
TRPC4AP	merlin	Cluster1594
PMS1	merlin	Cluster1594
ILF3	merlin	Cluster1594
BRWD1	merlin	Cluster1594
RGS14	merlin	Cluster1594
SPRED1	merlin	Cluster1594
TAOK3	merlin	Cluster1594
EYA4	merlin	Cluster1594
BCLAF1	merlin	Cluster1594
HMGB2	merlin	Cluster1594
KALRN	merlin	Cluster1594
MAFB	merlin	Cluster1594
MCM5	merlin	Cluster1594
MERTK	merlin	Cluster1594
POU2F1	merlin	Cluster1594
TGIF2	merlin	Cluster1594
EGFR	merlin	Cluster1594
SLC20A2	merlin	Cluster1594
KLF3	merlin	Cluster1594
SND1	merlin	Cluster1594
TCF12	merlin	Cluster1594
UPF1	merlin	Cluster1594
XRCC5	merlin	Cluster1594
RAD51	merlin	Cluster1594
TRIM24	merlin	Cluster1594
