PLK4	upstream
PPAP2B	upstream
PPAPDC1B	upstream
PPAPDC2	upstream
PPFIA1	upstream
PPFIBP1	upstream
PPM1B	upstream
PPM1D	upstream
PPM1F	upstream
PPM1G	upstream
PPM1N	upstream
PPME1	upstream
PPP1CA	upstream
PPP1CB	upstream
PPP1CC	upstream
PPP1R10	upstream
PPP1R11	upstream
PPP1R12A	upstream
PPP1R12B	upstream
PPP1R13B	upstream
PPP1R14B	upstream
PPP1R14C	upstream
PPP1R15B	upstream
PPP1R16A	upstream
PPP1R16B	upstream
PPP1R18	upstream
PPP1R1A	upstream
PPP1R2	upstream
PPP1R35	upstream
PPP1R3B	upstream
PPP1R3C	upstream
PPP1R7	upstream
PPP1R9A	upstream
PPP2R1B	upstream
PPP2R2A	upstream
PPP2R2C	upstream
PPP2R4	upstream
PPP2R5A	upstream
PPP2R5D	upstream
PPP3CC	upstream
PPP3R1	upstream
PPP3R2	upstream
PPP4C	upstream
PPP4R1	upstream
PPP4R4	upstream
PPP5C	upstream
PPP6C	upstream
PPP6R1	upstream
PRG2	upstream
PRICKLE3	upstream
PRKAA1	upstream
PRKAA2	upstream
PRKAB2	upstream
PRKCZ	upstream
PRKD1	upstream
PRKDC	upstream
PRKX	upstream
PTK2	upstream
PTK6	upstream
PTK7	upstream
PTP4A1	upstream
PTP4A2	upstream
PTP4A3	upstream
PTPDC1	upstream
PTPLA	upstream
PTPLAD1	upstream
PTPLB	upstream
PTPN1	upstream
PTPN12	upstream
PTPN21	upstream
PTPN23	upstream
PTPN6	upstream
PTPRA	upstream
PTPRCAP	upstream
PTPRE	upstream
PTPRF	upstream
PTPRJ	upstream
PTPRK	upstream
PTPRR	upstream
PTPRZ1	upstream
PXK	upstream
RABGGTB	upstream
RAF1	upstream
RANBP9	upstream
RCAN1	upstream
RIOK1	upstream
RIOK3	upstream
RIPK1	upstream
RIPK3	upstream
RIPK4	upstream
RNGTT	upstream
ROR1	upstream
RPA2	upstream
RPAP2	upstream
RPS6KA2	upstream
RPS6KA3	upstream
RPS6KA5	upstream
RPSA	upstream
RRP1B	upstream
RYK	upstream
S100A4	upstream
SACM1L	upstream
SAG	upstream
SBF1	upstream
SBK1	upstream
SEMA4D	upstream
SET	upstream
SFI1	upstream
SGK1	upstream
SGK2	upstream
SGSH	upstream
SH2D4A	upstream
SH3RF2	upstream
SH3YL1	upstream
SHC1	upstream
SHOC2	upstream
SIK1	upstream
SIK2	upstream
SLC20A2	upstream
SLK	upstream
SMEK1	upstream
SMEK2	upstream
SMG5	upstream
SMG6	upstream
SNTB2	upstream
SORBS1	upstream
SPRED1	upstream
SRC	upstream
SRPK1	upstream
SRPK2	upstream
SRPK3	upstream
SRSF9	upstream
SSH2	upstream
SSTR2	upstream
STK10	upstream
STK11	upstream
STK16	upstream
STK24	upstream
STK25	upstream
STK32A	upstream
STK33	upstream
STK36	upstream
STK38	upstream
STK4	upstream
STK40	upstream
STRADB	upstream
STRN	upstream
STYK1	upstream
STYXL1	upstream
SYNJ2	upstream
SYTL2	upstream
TAB1	upstream
TAOK2	upstream
TAOK3	upstream
TBCK	upstream
TBK1	upstream
TEX14	upstream
TIMM50	upstream
TJP1	upstream
TNIK	upstream
TNK1	upstream
TNS1	upstream
TNS3	upstream
TOX4	upstream
TP53BP2	upstream
TRPC4AP	upstream
TRPM7	upstream
TTK	upstream
UBLCP1	upstream
ULK2	upstream
ULK3	upstream
VAC14	upstream
VRK1	upstream
VRK2	upstream
WDR77	upstream
WDR81	upstream
WNK1	upstream
WNK4	upstream
YWHAB	upstream
YWHAG	upstream
YWHAZ	upstream
ZFYVE1	upstream
